,ds,trend,yhat,yhat_lower,yhat_upper,fact,anomaly,importance
949,2019-09-18,9100.441930781295,9100.441930781295,8018.160211504966,10214.168357615923,9031.700195,0,0.0
950,2019-09-19,9094.700707501479,9094.700707501479,7711.836671600802,10236.632244011875,9136.0,0,0.0
951,2019-09-20,9088.959484221661,9088.959484221661,7890.850374300357,10276.16775080498,9179.0,0,0.0
952,2019-09-23,9071.735814382211,9071.735814382211,8002.638851967556,10316.781111053995,9093.599609,0,0.0
953,2019-09-24,9065.994591102393,9065.994591102393,7824.13816233066,10252.006032771513,9118.200195,0,0.0
954,2019-09-25,9060.253367822575,9060.253367822575,8003.105856500369,10212.34112305543,9085.299805,0,0.0
955,2019-09-26,9054.51214454276,9054.51214454276,7826.855706204741,10106.660770322911,9129.700195,0,0.0
956,2019-09-27,9048.770921262943,9048.770921262943,7809.8615313161,10207.5371984173,9184.099609,0,0.0
957,2019-09-30,9031.547251423492,9031.547251423492,7870.653600310819,10260.971025394823,9244.599609,0,0.0
958,2019-10-01,9025.806028143676,9025.806028143676,7838.525384882458,10396.291959182607,9165.900391,0,0.0
959,2019-10-02,9020.064804863858,9020.064804863858,7817.754264400887,10171.156418334393,8912.200195,0,0.0
960,2019-10-03,9014.323581584042,9014.323581584042,7893.067820236199,10275.791338917228,8902.200195,0,0.0
961,2019-10-04,9008.582358304222,9008.582358304222,7853.403191262782,10295.32425723485,8961.799805,0,0.0
962,2019-10-07,8991.358688464772,8991.358688464772,7808.351309164911,10206.425343401088,9044.099609,0,0.0
963,2019-10-08,8985.617465184954,8985.617465184954,7945.465402691663,10119.739998282283,8940.099609,0,0.0
964,2019-10-09,8979.876241905138,8979.876241905138,7735.634060491183,10149.575920977186,8991.900391,0,0.0
965,2019-10-10,8974.135018625322,8974.135018625322,7801.234753035659,10056.743640152388,9104.400391,0,0.0
966,2019-10-11,8968.393795345504,8968.393795345504,7781.236908041457,10173.731556371802,9273.799805,0,0.0
967,2019-10-14,8951.170125506052,8951.170125506052,7807.43400839256,10050.29453002333,9246.5,0,0.0
968,2019-10-15,8945.428902226236,8945.428902226236,7796.068471290723,10301.785388829809,9356.099609,0,0.0
969,2019-10-16,8939.687678946419,8939.687678946419,7753.092443010828,10267.09236957532,9386.700195,0,0.0
970,2019-10-17,8933.946455666603,8933.946455666603,7784.760452944298,10067.597259287362,9340.0,0,0.0
971,2019-10-18,8928.205232386785,8928.205232386785,7844.727624890708,10094.62479698772,9329.799805,0,0.0
972,2019-10-21,8910.981562547335,8910.981562547335,7788.447793853083,9978.57232730649,9402.299805,0,0.0
973,2019-10-22,8905.240339267517,8905.240339267517,7673.695809254825,10094.571295600208,9380.200195,0,0.0
974,2019-10-23,8899.4991159877,8899.4991159877,7675.049363198774,10083.74122512901,9385.0,0,0.0
