Dates;PX_LAST;LAST_PRICE;PX_VOLUME
09/26/2011;;18694.26;6818692
09/27/2011;;19134.43;9684628
09/28/2011;;18543.93;8866326
09/29/2011;;18435.79;8561852
09/30/2011;;18329.1;10789005
10/03/2011;;17838.98;7474578
10/04/2011;;17317.88;10426461
10/05/2011;;17543.34;6331132
10/06/2011;;17745.48;7210805
10/07/2011;;17761.27;2382802
10/10/2011;;18270.65;3096689
10/11/2011;;18268.85;6449573
10/12/2011;;18554.9;5354669
10/13/2011;;18623.62;3739747
10/14/2011;;18897.41;7210849
10/17/2011;;18723.34;5960610
10/18/2011;;18988.64;6770344
10/19/2011;;18766.55;3008352
10/20/2011;;18567.91;7091276
10/21/2011;;18857.1;10986213
10/24/2011;;19465.92;9379796
10/25/2011;;19307.25;4172855
10/26/2011;;19342.14;11976476
10/27/2011;;20012.08;15927298
10/28/2011;;20044.34;4665736
10/31/2011;;19629.63;4622707
11/01/2011;;19629.63;4622707
11/02/2011;;19486.18;6887889
11/03/2011;;19579.97;4435839
11/04/2011;;19370.46;9193112
11/07/2011;;19392.34;1787025
11/08/2011;;19509.95;8509077
11/09/2011;;19010.75;3371730
11/10/2011;;19127.85;10153963
11/11/2011;;19450.89;9719465
11/14/2011;;19346.98;2756155
11/15/2011;;19359.25;3149859
11/16/2011;;19529.14;23601176
11/17/2011;;19304.53;19845406
11/18/2011;;19240.14;5561338
11/21/2011;;18956.18;5301805
11/22/2011;;19131.61;12021574
11/23/2011;;19007.82;6671678
11/24/2011;;18975.54;4591273
11/25/2011;;18957.75;6737032
11/28/2011;;19168.9;10739156
11/29/2011;;19236.99;13876154
11/30/2011;;19911.82;135190920
12/01/2011;;19814.4;10506610
12/02/2011;;20178.69;13960201
12/05/2011;;20200.38;10681599
12/06/2011;;20090.29;17740476
12/07/2011;;19986.43;6530633
12/08/2011;;19986.43;6530633
12/09/2011;;19985.96;14047755
12/12/2011;;19734.71;6279772
12/13/2011;;19587.19;4811261
12/14/2011;;19305.93;8016193
12/15/2011;;19389.82;6072588
12/16/2011;;19446.49;5726501
12/19/2011;;19168.95;5933266
12/20/2011;;19370.41;9256045
12/21/2011;;19360.66;5327472
12/22/2011;;19383.07;7601263
12/23/2011;;19428.81;3624740
12/26/2011;;19458.87;3485000
12/27/2011;;19398.51;3525010
12/28/2011;;19268.55;5935926
12/29/2011;;19385.19;7748795
12/30/2011;;19473.31;9067626
01/02/2012;;19579.41;1396790
01/03/2012;;19886.89;9331076
01/04/2012;;19940.09;3862899
01/05/2012;;19943.99;4621350
01/06/2012;;19800.88;7561893
01/09/2012;;19947.48;4934557
01/10/2012;;20269.16;8720852
01/11/2012;;20280.64;7756341
01/12/2012;;20539.69;9229252
01/13/2012;;20472;4046271
01/16/2012;;20592.42;5131190
01/17/2012;;20712.92;11031483
01/18/2012;;20868.23;9565418
01/19/2012;;21006.51;15139382
01/20/2012;;20887.84;9331993
01/23/2012;;21206.06;12333486
01/24/2012;;21277.53;13506292
01/25/2012;;21410.67;13955886
01/26/2012;;21645.82;15248424
01/27/2012;;21843.63;10082692
01/30/2012;;21852.1;8867888
01/31/2012;;21948.07;12287968
02/01/2012;;22371.22;24149397
02/02/2012;;22686.68;29306601
02/03/2012;;22918.62;27241023
02/06/2012;;22906.38;9600659
02/07/2012;;22803.81;11981057
02/08/2012;;22730.7;13197694
02/09/2012;;22697.16;7045115
02/10/2012;;22496.64;8686231
02/13/2012;;22429.9;12417229
02/14/2012;;22269.27;7852556
02/15/2012;;22276.71;4648387
02/16/2012;;22360.79;9554088
02/17/2012;;22456.8;8188841
02/20/2012;;22604.62;5086895
02/21/2012;;22873.38;8906516
02/22/2012;;22870.86;7509866
02/23/2012;;22835.83;8106100
02/24/2012;;22825.87;12340519
02/27/2012;;22729.93;6120833
02/28/2012;;22900.81;4662992
02/29/2012;;22728.75;11456096
03/01/2012;;22982.85;14594379
03/02/2012;;23163.87;12567703
03/05/2012;;22967.3;7904707
03/06/2012;;22664.72;6468756
03/07/2012;;22839.18;18444377
03/08/2012;;23033.26;8755288
03/09/2012;;23232.5;9590162
03/12/2012;;22997.66;6209552
03/13/2012;;23145.52;6540815
03/14/2012;;23015.47;8150948
03/15/2012;;22974.79;4829579
03/16/2012;;22962.52;5660385
03/19/2012;;23079.77;6524127
03/20/2012;;22935.7;6306738
03/21/2012;;23056.42;5457388
03/22/2012;;22772.6;6811265
03/23/2012;;22953.79;7299659
03/26/2012;;23334.57;9877714
03/27/2012;;23650.62;9903710
03/28/2012;;23537.51;4879173
03/29/2012;;23335.12;6581152
03/30/2012;;23612.02;15955241
04/02/2012;;24051.62;15338201
04/03/2012;;24035.61;10994554
04/04/2012;;23622.59;10920169
04/05/2012;;23622.59;10920169
04/06/2012;;23622.59;10920169
04/09/2012;;23405.64;5844471
04/10/2012;;23284.84;11397670
04/11/2012;;23270.01;9761307
04/12/2012;;23471.36;17764855
04/13/2012;;23335.66;6404770
04/16/2012;;23268.5;4013956
04/17/2012;;23361.21;8840941
04/18/2012;;23274.98;9511308
04/19/2012;;23149.97;7543639
04/20/2012;;23264.9;6039415
04/23/2012;;22938.24;5940014
04/24/2012;;22945.72;4388407
04/25/2012;;22845.02;6207089
04/26/2012;;22799.41;9602974
04/27/2012;;22908.98;11857958
04/30/2012;;22677.93;8676550
05/01/2012;;22677.93;8676550
05/02/2012;;22379.99;9829527
05/03/2012;;22055.99;9377427
05/04/2012;;22138.03;10754428
05/07/2012;;21967.93;7240613
05/08/2012;;21393.59;17968370
05/09/2012;;21550.8;10655243
05/10/2012;;21763.94;7393522
05/11/2012;;21662.45;7504476
05/14/2012;;21255.2;5155361
05/15/2012;;20871.12;9296720
05/16/2012;;20856.99;15357410
05/17/2012;;20643.88;8152811
05/18/2012;;20501.81;7831160
05/21/2012;;20680.89;3265023
05/22/2012;;20726.59;7767990
